City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Axim,GH,2022-05-27 23:35:43,4.8699,-2.2405,78.71,85,94,4.88,overcast clouds
152,Ilulissat,GL,2022-05-27 23:35:44,69.2167,-51.1,33.82,80,100,10.36,overcast clouds
153,Nanortalik,GL,2022-05-27 23:35:44,60.1432,-45.2371,39.58,77,100,3.58,overcast clouds
154,Victoria,HK,2022-05-27 23:35:44,22.2855,114.1577,83.32,87,82,10.0,broken clouds
155,Vao,NC,2022-05-27 23:35:45,-22.6667,167.4833,73.04,83,100,18.72,overcast clouds
156,Twante,MM,2022-05-27 23:35:45,16.7167,95.9333,78.93,89,98,6.46,overcast clouds
157,Gondanglegi,ID,2022-05-27 23:35:45,-7.7479,112.0132,76.96,87,83,1.72,broken clouds
158,Price,US,2022-05-27 23:31:01,39.5994,-110.8107,85.26,10,0,13.8,clear sky
159,Bundaberg,AU,2022-05-27 23:35:45,-24.85,152.35,71.22,77,2,4.0,clear sky
160,Riverton,US,2022-05-27 23:35:46,40.5219,-111.9391,85.33,24,0,8.99,clear sky
161,Kaeo,NZ,2022-05-27 23:35:46,-35.1,173.7833,64.33,72,81,12.35,broken clouds
162,Lompoc,US,2022-05-27 23:35:46,34.6391,-120.4579,73.78,65,20,13.8,haze
163,Nirgua,VE,2022-05-27 23:35:46,10.1553,-68.5663,67.15,92,100,1.57,overcast clouds
164,Clyde River,CA,2022-05-27 23:30:26,70.4692,-68.5914,21.43,93,100,12.66,light snow
165,Ishigaki,JP,2022-05-27 23:35:47,24.3448,124.1572,80.73,94,75,11.5,broken clouds
166,Mayo,US,2022-05-27 23:35:47,38.8876,-76.5119,73.81,90,75,12.66,broken clouds
167,Kamarion,GR,2022-05-27 23:35:47,36.8,25.8167,71.1,82,0,8.12,clear sky
168,Imbituba,BR,2022-05-27 23:35:48,-28.24,-48.6703,69.85,99,89,3.51,moderate rain
169,Narsaq,GL,2022-05-27 23:35:48,60.9167,-46.05,52.02,53,100,7.99,overcast clouds
170,Gioia Tauro,IT,2022-05-27 23:35:48,38.424,15.899,79.12,48,35,4.23,scattered clouds
171,Yellowknife,CA,2022-05-27 23:35:48,62.456,-114.3525,61.32,41,40,10.36,scattered clouds
172,Matara,LK,2022-05-27 23:35:49,5.9485,80.5353,77.4,90,85,10.83,overcast clouds
173,Huimanguillo,MX,2022-05-27 23:35:49,17.85,-93.3833,82.62,70,96,12.1,overcast clouds
174,Gaziantep,TR,2022-05-27 23:35:49,37.0594,37.3825,70.56,52,0,1.14,clear sky
175,Araouane,ML,2022-05-27 23:35:49,18.9048,-3.5265,93.07,20,74,9.22,broken clouds
176,Umm Bab,QA,2022-05-27 23:35:50,25.2142,50.8072,81.25,54,0,12.21,clear sky
177,Lavrentiya,RU,2022-05-27 23:35:50,65.5833,-171.0,39.63,84,91,6.87,overcast clouds
178,Bereda,ES,2022-05-27 23:35:50,43.2686,-7.5406,55.58,96,48,4.7,scattered clouds
179,Guerrero Negro,MX,2022-05-27 23:36:50,27.9769,-114.0611,66.47,66,0,20.6,clear sky
180,Albany,US,2022-05-27 23:32:31,42.6001,-73.9662,71.92,85,100,7.61,overcast clouds
181,Chapais,CA,2022-05-27 23:36:51,49.7834,-74.8492,55.18,95,100,5.84,overcast clouds
182,Los Llanos De Aridane,ES,2022-05-27 23:36:51,28.6585,-17.9182,62.35,81,0,8.05,clear sky
183,Zhongshu,CN,2022-05-27 23:36:51,24.5167,103.7667,65.34,92,77,3.2,broken clouds
184,Rincon,US,2022-05-27 23:36:51,32.296,-81.2354,80.56,76,75,10.36,broken clouds
185,Vagay,RU,2022-05-27 23:36:52,57.9375,69.0217,48.61,91,98,11.32,light rain
186,Yinchuan,CN,2022-05-27 23:36:52,38.4681,106.2731,76.98,11,88,5.46,overcast clouds
187,Severo-Kurilsk,RU,2022-05-27 23:36:52,50.6789,156.125,45.25,84,98,2.19,overcast clouds
188,Ixtapa,MX,2022-05-27 23:36:52,20.7,-105.2,83.23,78,0,12.66,clear sky
189,Jalu,LY,2022-05-27 23:36:53,29.0331,21.5482,83.84,15,0,9.93,clear sky
190,Trairi,BR,2022-05-27 23:34:04,-3.2778,-39.2689,75.74,82,35,5.61,scattered clouds
191,Quatre Cocos,MU,2022-05-27 23:36:53,-20.2078,57.7625,69.91,81,3,7.43,clear sky
192,Vila Velha,BR,2022-05-27 23:36:53,-20.3297,-40.2925,69.75,96,100,3.44,overcast clouds
193,Shahrud,IR,2022-05-27 23:36:54,36.4182,54.9763,55.22,41,0,7.45,clear sky
194,Hasaki,JP,2022-05-27 23:30:22,35.7333,140.8333,72.0,64,1,3.24,clear sky
195,Omsukchan,RU,2022-05-27 23:36:54,62.5333,155.8,37.04,97,100,3.85,overcast clouds
196,Mount Gambier,AU,2022-05-27 23:36:54,-37.8333,140.7667,50.74,86,95,7.49,overcast clouds
197,Tateyama,JP,2022-05-27 23:36:54,34.9833,139.8667,70.11,74,6,4.99,clear sky
198,Ha Giang,VN,2022-05-27 23:36:55,22.8333,104.9833,79.12,96,100,1.03,light rain
199,Phulabani,IN,2022-05-27 23:36:55,20.4667,84.2333,81.57,39,12,5.1,few clouds
200,Biak,ID,2022-05-27 23:36:55,-0.9131,122.8766,78.75,77,99,0.81,moderate rain
201,Klaksvik,FO,2022-05-27 23:36:55,62.2266,-6.589,43.72,90,100,24.16,light rain
202,San Patricio,US,2022-05-27 23:36:56,28.017,-97.5169,95.72,56,0,14.67,clear sky
203,Georgetown,MY,2022-05-27 23:32:29,5.4112,100.3354,80.53,99,20,2.3,few clouds
204,Baoding,CN,2022-05-27 23:36:56,38.8511,115.4903,84.56,14,42,10.16,scattered clouds
