City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
653,Macau,MO,82.2,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
654,Huilong,CN,72.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
655,San Francisco,US,74.52,broken clouds,37.7749,-122.4194,Edwardian Hotel
657,Bemidji,US,75.18,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
658,Sibolga,ID,76.39,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
663,Luang Prabang,LA,76.98,broken clouds,19.8856,102.1347,The Apsara
667,Korla,CN,72.27,broken clouds,41.7597,86.1469,Gulisitan Hotel
670,Mareeba,AU,76.66,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
675,Basco,PH,83.39,broken clouds,20.4487,121.9702,Nathaniel's Lodge
676,Indian Head,US,73.89,light rain,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
677,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
678,Islamkot,PK,79.43,few clouds,24.6997,70.177,Haji Hotel
679,Rock Sound,BS,79.48,scattered clouds,24.9,-76.2,Pink Corral Bay Property
