City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Muttupet,IN,2022-05-31 02:17:12,10.4,79.4833,84.0,65,90,11.12
251,Garowe,SO,2022-05-31 02:17:13,8.4054,48.4845,76.87,67,70,22.64
252,Codrington,AU,2022-05-31 02:17:13,-38.2667,141.9667,50.25,68,100,19.46
253,Jiangyou,CN,2022-05-31 02:17:14,31.7667,104.7167,74.35,69,100,3.74
254,Gangapur,IN,2022-05-31 02:17:14,26.4833,76.7167,91.58,36,0,15.41
255,Rudesheim,DE,2022-05-31 02:16:44,49.85,7.8167,51.75,83,90,4.0
256,Oussouye,SN,2022-05-31 02:17:15,12.485,-16.5469,78.98,73,70,4.07
257,Lethem,GY,2022-05-31 02:17:15,3.3803,-59.7968,76.66,85,84,9.04
258,Kununurra,AU,2022-05-31 02:17:15,-15.7667,128.7333,82.38,57,43,5.75
259,Barcelona,ES,2022-05-31 02:12:52,41.3888,2.159,67.64,55,0,7.0
260,Vila Franca Do Campo,PT,2022-05-31 02:17:16,37.7167,-25.4333,58.19,79,100,16.64
261,Kathu,TH,2022-05-31 02:17:16,7.9178,98.3332,84.02,99,96,16.64
262,Baillif,GP,2022-05-31 02:17:16,16.0202,-61.7463,78.64,78,11,12.64
263,Hofn,IS,2022-05-31 02:17:17,64.2539,-15.2082,43.57,88,51,4.56
264,Wad Rawah,SD,2022-05-31 02:17:17,15.1603,33.1397,87.31,11,6,10.0
265,Flinders,AU,2022-05-31 02:16:06,-34.5833,150.8552,60.39,57,2,28.19
266,Shaoxing,CN,2022-05-31 02:17:18,30.011,120.5715,76.95,67,82,3.2
267,Izhma,RU,2022-05-31 02:17:18,65.0083,53.9113,53.22,45,10,5.1
268,Teeli,RU,2022-05-31 02:17:18,51.0333,90.2333,64.72,33,100,1.88
269,Falam,MM,2022-05-31 02:17:18,22.9167,93.6833,70.39,80,65,1.66
270,Am Timan,TD,2022-05-31 02:17:19,11.0297,20.2827,82.42,49,96,5.1
271,Pacific Grove,US,2022-05-31 02:17:19,36.6177,-121.9166,66.87,76,20,13.8
272,Upernavik,GL,2022-05-31 02:17:19,72.7868,-56.1549,26.2,80,28,16.51
273,Petropavlovsk-Kamchatskiy,RU,2022-05-31 02:17:20,53.0452,158.6483,54.19,58,20,20.13
274,Tagusao,PH,2022-05-31 02:17:20,9.1924,117.8141,85.44,68,32,4.54
275,Awbari,LY,2022-05-31 02:17:20,26.5921,12.7805,84.27,17,97,8.41
276,Kozan,TR,2022-05-31 02:18:21,37.4552,35.8157,72.64,48,7,4.54
277,Kropotkin,RU,2022-05-31 02:18:21,45.4375,40.5756,65.41,79,29,5.46
278,Kruglolesskoye,RU,2022-05-31 02:18:22,44.6589,42.8142,61.75,85,7,4.12
279,Hovd,MN,2022-05-31 02:18:22,48.0056,91.6419,63.93,26,100,3.15
280,Campbell River,CA,2022-05-31 02:18:22,50.0163,-125.2446,61.59,72,75,4.61
